Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PPG
18,Tony Bradley,C,22,UTA,6,0,8,0.3,1.5,0.222,0,0,,0.3,1.5,0.222,0.222,0.8,1.2,0.714,1.7,2.2,3.8,0.2,0.3,0.3,0.7,0.7,1.5
19,Jarrell Brantley,PF,23,UTA,2,0,6.5,0,2.5,0,0,1.5,0,0,1,0,0,0.5,1,0.5,1.5,0.5,2,1,0,0.5,0.5,2,0.5
20,Malcolm Brogdon,PG,27,IND,4,4,40,6.5,16.3,0.4,2.3,6,0.375,4.3,10.3,0.415,0.469,6.3,7,0.893,0,4.3,4.3,10,1,0,2.5,2.5,21.5
21,Jaylen Brown,SG,23,BOS,17,17,39.5,8.1,16.9,0.476,2.5,7.1,0.358,5.5,9.9,0.56,0.55,3.1,3.7,0.841,1.4,6.1,7.5,2.3,1.5,0.5,2.4,2.8,21.8
22,Sterling Brown,SF,24,MIL,1,0,4,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,0,0,0,0,0,0
23,Trey Burke,PG,27,DAL,6,3,26,5,9.8,0.508,1.3,2.8,0.471,3.7,7,0.524,0.576,1,1.7,0.6,0.3,2.8,3.2,2,1.3,0.3,1,2.3,12.3
24,Alec Burks,SG,28,PHI,4,0,23.8,4,12.3,0.327,0.8,4,0.188,3.3,8.3,0.394,0.357,1.8,2.3,0.778,1.8,2,3.8,1.8,0.3,0.8,0.8,1.8,10.5
25,Deonte Burton,SF,26,OKC,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
26,Jimmy Butler,SF,30,MIA,21,21,38.4,6.9,14,0.488,0.7,2,0.349,6.1,12,0.512,0.514,7.8,9.1,0.859,2.2,4.3,6.5,6,2,0.7,2.8,1.8,22.2
27,Bruno Caboclo,C,24,HOU,2,0,3.5,0.5,1,0.5,0,0.5,0,0.5,0.5,1,0.5,0,0,,0,1.5,1.5,0,0.5,0,0,1,1
28,Kentavious Caldwell-Pope,SG,26,LAL,21,21,29,3.8,9,0.418,2.1,5.7,0.378,1.6,3.3,0.486,0.537,1,1.3,0.815,0.4,1.7,2.1,1.3,1,0.2,0.7,1.9,10.7
29,DeMarre Carroll,C,33,HOU,2,0,3,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,0,,0,1.5,1.5,0.5,0,0,0,0.5,1
30,Alex Caruso,PG,25,LAL,21,1,24.3,2.3,5.4,0.425,0.8,2.9,0.279,1.5,2.5,0.596,0.5,1.1,1.4,0.8,0.7,1.6,2.3,2.8,1.1,0.6,1.5,2.6,6.5
31,Tyson Chandler,C,37,HOU,1,0,0,0,0,,0,0,,0,0,,,0,2,0,0,0,0,0,0,0,0,0,0
32,Chris Chiozza,PG,24,BRK,4,0,16.3,2,6,0.333,1.3,4,0.313,0.8,2,0.375,0.438,0.5,1,0.5,0.3,1.3,1.5,4.3,1.3,0,0.8,1.8,5.8
33,Gary Clark,SF,25,ORL,5,5,28.8,2.2,6.6,0.333,2.2,6.4,0.344,0,0.2,0,0.5,0.8,1,0.8,0.8,4.8,5.6,1.4,1,0.4,0.4,1.4,7.4
34,Jordan Clarkson,SG,27,UTA,7,0,28.6,6.4,13.9,0.464,2.4,7,0.347,4,6.9,0.583,0.552,1.4,1.4,1,0.3,3.1,3.4,2.1,0.9,0,1,2.1,16.7
35,Chris Clemons,SG,22,HOU,2,0,4,1,2.5,0.4,1,2.5,0.4,0,0,,0.6,0.5,1,0.5,0,1,1,0,0,0,0,0,3.5
36,Antonius Cleveland,SG,25,DAL,2,0,4.5,1,2.5,0.4,0,0,,1,2.5,0.4,0.4,0,0,,0.5,0,0.5,0,0.5,0,0,0.5,2
37,Amir Coffey,SG,22,LAC,3,0,2.3,0,1,0,0,0.3,0,0,0.7,0,0,0.7,0.7,1,0,0,0,1.3,0.3,0,0,0,0.7
38,Mike Conley,PG,32,UTA,5,5,33,6.2,12.8,0.484,3.6,6.8,0.529,2.6,6,0.433,0.625,3.8,4.4,0.864,0.6,2.2,2.8,5.2,1.6,0.2,1,2,19.8
39,Pat Connaughton,SG,27,MIL,10,0,17.1,1.5,3.5,0.429,0.8,2.3,0.348,0.7,1.2,0.583,0.543,0.2,0.2,1,0.5,3.4,3.9,1.1,0.2,0.2,0.5,1.2,4
40,Quinn Cook,PG,26,LAL,6,0,4,0.8,1.7,0.5,0.3,0.7,0.5,0.5,1,0.5,0.6,0.2,0.2,1,0,0.2,0.2,0.8,0,0,0.2,0.2,2.2
41,Tyler Cook,SF,22,DEN,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,0,0,0,0
42,Robert Covington,C,29,HOU,12,12,31.6,3.9,7.9,0.495,2.8,5.7,0.5,1.1,2.3,0.481,0.674,0.5,0.6,0.857,0.7,4.3,5,1.3,2.5,1.1,1,3.8,11.2
43,Torrey Craig,SF,29,DEN,19,3,19.7,1.7,4.1,0.423,0.6,2.2,0.262,1.2,1.9,0.611,0.494,0.5,0.7,0.692,0.7,2.6,3.3,0.7,0.4,0.4,0.5,2.3,4.5
44,Jae Crowder,PF,29,MIA,21,21,31.4,3.9,9.6,0.403,2.6,7.7,0.342,1.2,1.9,0.65,0.54,1.7,2.2,0.761,0.5,5,5.6,1.9,0.7,0.6,0.7,2.6,12
45,Seth Curry,SG,29,DAL,6,0,28.8,5.2,8.8,0.585,1.7,3.5,0.476,3.5,5.3,0.656,0.679,0.8,0.8,1,0.3,1.5,1.8,1.3,1,0,1.3,2.3,12.8
