Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PPG
121,Meyers Leonard,C,27,MIA,3,2,10.3,1.7,2.7,0.625,0.7,1.3,0.5,1,1.3,0.75,0.75,0.7,0.7,1,0,0.3,0.3,1,0.3,0,0,1.3,4.7
122,Caris LeVert,SG,25,BRK,4,4,35,6.8,18.3,0.37,2.3,5.3,0.429,4.5,13,0.346,0.432,4.5,6.3,0.72,2,4,6,9.5,1.3,0.3,3.3,1.8,20.3
123,Damian Lillard,PG,29,POR,4,4,35.8,6.5,16,0.406,3.3,8.3,0.394,3.3,7.8,0.419,0.508,8,8.3,0.97,0.3,3.3,3.5,4.3,0.5,0.3,3.5,1,24.3
124,Brook Lopez,C,31,MIL,10,10,32.8,6.1,11.4,0.535,2.1,5.3,0.396,4,6.1,0.656,0.627,1.5,2,0.75,1.9,3.6,5.5,0.5,1,1.3,1.2,2.7,15.8
125,Robin Lopez,C,31,MIL,3,0,7,1,1.3,0.75,0,0,,1,1.3,0.75,0.75,0,0,,0,1.3,1.3,0,0,0,0,0.7,2
126,Kyle Lowry,PG,33,TOR,11,11,37.5,5.6,13.5,0.419,2.1,6.5,0.319,3.5,6.9,0.513,0.497,4.4,5.5,0.8,0.7,5.8,6.5,5.8,1.7,0.7,2.5,3.6,17.7
127,Timothé Luwawu-Cabarrot,SF,24,BRK,4,3,32.8,5,14.8,0.339,3.3,9.8,0.333,1.8,5,0.35,0.449,2.8,3,0.917,0.3,3.5,3.8,1.5,0.8,0,2,3.5,16
128,Terance Mann,SF,23,LAC,13,0,2.1,0.2,0.4,0.4,0,0.2,0,0.2,0.2,0.667,0.4,0,0,,0,0.5,0.5,0.1,0.1,0,0.2,0.3,0.3
129,Boban Marjanović,C,31,DAL,6,0,13.7,2.8,5,0.567,0,0.2,0,2.8,4.8,0.586,0.567,1.2,1.5,0.778,1,4.8,5.8,0.8,0,0.3,0.5,1.5,6.8
130,Jeremiah Martin,PG,23,BRK,3,0,9,1.3,4.7,0.286,1,1.7,0.6,0.3,3,0.111,0.393,0.3,0.3,1,0,1,1,1.3,0,0.3,0.7,0.7,4
131,Frank Mason III,PG,25,MIL,2,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0.5,0,0,0,0,0
132,Wesley Matthews,SG,33,MIL,10,10,24.6,2.4,5.7,0.421,1.7,4.3,0.395,0.7,1.4,0.5,0.57,0.7,1,0.7,0.6,1.2,1.8,0.9,0.9,0.4,0.7,2,7.2
133,CJ McCollum,SG,28,POR,5,5,39.2,8.8,19.8,0.444,2.6,7,0.371,6.2,12.8,0.484,0.51,3,4.4,0.682,1,4.8,5.8,3.2,1.2,0.4,3,2,23.2
134,T.J. McConnell,PG,27,IND,3,0,9.3,1,2.7,0.375,0,0,,1,2.7,0.375,0.375,0.3,0.7,0.5,0,2,2,2.3,0,0,0.7,1.3,2.3
135,Doug McDermott,PF,28,IND,4,0,13.5,1,3.8,0.267,0.5,2.5,0.2,0.5,1.3,0.4,0.333,0,0,,0,0.8,0.8,0.3,0.3,0,0.3,0.8,2.5
136,JaVale McGee,C,32,LAL,14,11,9.6,1.4,2.3,0.625,0,0.1,0,1.4,2.1,0.667,0.625,0.1,0.1,0.5,1.1,2,3.1,0.5,0.1,0.7,0.6,1.6,2.9
137,Rodney McGruder,SG,28,LAC,5,0,3.2,0.6,1,0.6,0.4,0.6,0.667,0.2,0.4,0.5,0.8,0,0,,0.2,0.6,0.8,0.4,0,0,0,0,1.6
138,Ben McLemore,SF,26,HOU,11,0,11.8,1.4,3.6,0.375,1.3,3.3,0.389,0.1,0.4,0.25,0.55,0,0,,0.2,0.8,1,0.5,0.4,0,0.3,0.7,4
139,Khris Middleton,SF,28,MIL,10,10,35.5,7.1,18,0.394,2.3,6.5,0.354,4.8,11.5,0.417,0.458,3.8,4.6,0.826,0.5,6.4,6.9,6,1.1,0.2,3.4,4.1,20.3
140,Malcolm Miller,SF,26,TOR,1,0,5,1,3,0.333,1,1,1,0,2,0,0.5,0,0,,0,0,0,0,0,0,0,2,3
141,Paul Millsap,PF,34,DEN,19,19,24.2,2.5,6.2,0.398,0.8,2.3,0.341,1.7,3.9,0.432,0.462,2.3,2.8,0.796,1.4,3.3,4.7,1.2,0.6,0.5,1.3,2.6,8
142,Shake Milton,SG,23,PHI,4,4,31.5,5.3,11,0.477,2.5,6.3,0.4,2.8,4.8,0.579,0.591,1.5,1.8,0.857,0.3,3,3.3,2.8,0.5,0,1.5,3.3,14.5
143,Donovan Mitchell,SG,23,UTA,7,7,37.7,11.9,22.4,0.529,4.7,9.1,0.516,7.1,13.3,0.538,0.634,7.9,8.3,0.948,0.9,4.1,5,4.9,1,0.3,4.1,1.6,36.3
144,Juwan Morgan,PF,22,UTA,7,2,12.3,0.4,1.7,0.25,0.3,1.4,0.2,0.1,0.3,0.5,0.333,0.3,0.9,0.333,0.9,2.1,3,0.7,0.3,0,0.1,1.6,1.4
145,Marcus Morris,PF,30,LAC,13,13,29.8,4.3,8.5,0.505,2.2,4.5,0.475,2.2,4,0.538,0.631,1,1.1,0.929,0.8,4,4.8,1.6,0.8,0.1,0.7,3,11.8
146,Markieff Morris,PF,30,LAL,21,2,18.3,2.1,4.7,0.449,1.4,3.3,0.42,0.7,1.4,0.517,0.597,0.3,0.4,0.778,0.6,2.5,3,1,0.3,0.1,0.8,2.6,5.9
147,Monte Morris,PG,24,DEN,19,4,21.4,3.5,7,0.496,0.6,2.1,0.3,2.8,4.9,0.581,0.541,1.5,1.8,0.824,0.2,1.3,1.5,2.7,0.6,0.1,0.5,1.1,9.1
148,Emmanuel Mudiay,PG,23,UTA,3,0,11.3,1.7,4.7,0.357,0.7,1,0.667,1,3.7,0.273,0.429,0.3,0.7,0.5,0.3,1.7,2,0.7,0,0.3,0.3,0,4.3
149,Jamal Murray,PG,22,DEN,19,19,39.6,9.8,19.4,0.505,3.3,7.2,0.453,6.5,12.2,0.537,0.59,3.7,4.1,0.897,1.1,3.8,4.8,6.6,0.9,0.3,2.8,2.2,26.5
150,Džanan Musa,SF,20,BRK,3,0,13,0.7,3.7,0.182,0,2,0,0.7,1.7,0.4,0.182,3.3,4.7,0.714,0.3,0.7,1,1.3,0,0.3,1,0.7,4.7
151,Mike Muscala,C,28,OKC,2,0,10,0.5,1,0.5,0.5,0.5,1,0,0.5,0,0.75,0,0,,0,2,2,0.5,0,0,0,1,1.5
152,Abdel Nader,SF,26,OKC,3,0,8.3,0.3,2.3,0.143,0.3,1.7,0.2,0,0.7,0,0.214,0.3,0.7,0.5,0.3,0.7,1,0,0.3,0.7,0,0.3,1.3
153,Raul Neto,PG,27,PHI,2,0,13,1.5,4.5,0.333,1,2.5,0.4,0.5,2,0.25,0.444,0,0,,0,1.5,1.5,1.5,0.5,0,0.5,0,4
154,Georges Niang,PF,26,UTA,7,0,16.3,3.1,6.3,0.5,1.7,4.1,0.414,1.4,2.1,0.667,0.636,0.3,0.3,1,0.6,1.6,2.1,0.6,0,0.1,0.3,1.3,8.3
155,Joakim Noah,C,34,LAC,2,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
156,Nerlens Noel,C,25,OKC,7,0,13.9,1.1,2.4,0.471,0,0.1,0,1.1,2.3,0.5,0.471,0.7,1.4,0.5,0.7,3.4,4.1,0.4,0.3,0.7,0.3,2.1,3
157,Kendrick Nunn,PG,24,MIA,15,0,15.9,2.4,6.1,0.391,0.8,2.9,0.279,1.6,3.3,0.49,0.457,0.5,0.5,1,0.2,1.9,2.1,1.3,0.2,0.2,0.8,1.4,6.1
158,Jusuf Nurkić,C,25,POR,5,5,32.2,5,11.4,0.439,0.6,2.2,0.273,4.4,9.2,0.478,0.465,3.6,4.6,0.783,2.8,7.6,10.4,3.6,1.4,0.2,2.6,4.2,14.2
159,Royce O'Neale,SF,26,UTA,7,7,35.6,1.9,4.6,0.406,1.4,3.1,0.455,0.4,1.4,0.3,0.563,0.4,0.9,0.5,0.4,5,5.4,2.7,1.3,0.3,1.9,3.6,5.6
160,Kyle O'Quinn,C,29,PHI,1,0,6,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,2,3,0
161,Semi Ojeleye,PF,25,BOS,13,0,9.4,0.5,2.2,0.25,0.4,1.8,0.217,0.2,0.4,0.4,0.339,0.2,0.2,1,0.2,0.8,0.9,0.1,0.2,0,0.1,0.7,1.6
162,Victor Oladipo,SG,27,IND,4,4,30.8,5.5,14,0.393,3,8.3,0.364,2.5,5.8,0.435,0.5,3.8,4,0.938,0,3.3,3.3,2.5,2.3,0,3.5,3.5,17.8
163,Kelly Olynyk,C,28,MIA,17,0,15.2,2.6,5.6,0.474,1,2.9,0.347,1.6,2.7,0.609,0.563,1.4,1.6,0.821,0.8,3.9,4.6,1.1,0.2,0.5,0.8,2.1,7.6
164,Miye Oni,SF,22,UTA,2,0,7,1.5,3,0.5,0.5,2,0.25,1,1,1,0.583,0,0,,1,1,2,0,0.5,0.5,0.5,1,3.5
165,Patrick Patterson,PF,30,LAC,2,0,5,1.5,1.5,1,1.5,1.5,1,0,0,,1.5,0,0,,0,0.5,0.5,2,0,0,0,0.5,4.5
166,Chris Paul,PG,34,OKC,7,7,37.3,7.9,16,0.491,2.3,6.1,0.372,5.6,9.9,0.565,0.563,3.3,3.7,0.885,0.4,7,7.4,5.3,1.6,0.4,3.3,2.6,21.3
167,Norvel Pelle,C,26,PHI,1,0,7,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,1,1,0,0,0
168,Mason Plumlee,C,29,DEN,19,0,10.8,1,2.1,0.487,0,0.1,0,1,2,0.5,0.487,0.4,0.6,0.667,1.6,1.6,3.2,1.3,0.2,0.4,0.6,2.1,2.4
169,Vincent Poirier,C,26,BOS,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,1,0,0,0,0
170,Michael Porter Jr.,SF,21,DEN,19,3,23.7,4.1,8.6,0.476,1.8,4.7,0.382,2.3,3.9,0.587,0.579,1.4,1.8,0.743,1.1,5.6,6.7,0.8,0.7,0.3,1.3,2.3,11.4
171,Kristaps Porziņģis,C,24,DAL,3,3,31.3,7,13.3,0.525,3,5.7,0.529,4,7.7,0.522,0.638,6.7,7.7,0.87,1,7.7,8.7,0.7,0,1,1,3,23.7
172,Norman Powell,SG,26,TOR,11,0,24.8,4.6,9.5,0.49,2,4.7,0.423,2.6,4.7,0.558,0.596,2.1,2.6,0.793,0.4,2,2.4,1,0.5,0.3,1,2.6,13.4
173,Josh Reaves,SF,22,DAL,2,0,4.5,0.5,1.5,0.333,0,0.5,0,0.5,1,0.5,0.333,1,1,1,0,1,1,0.5,0,0.5,0.5,0.5,2
174,Josh Richardson,SG,26,PHI,4,4,36,5,14,0.357,2.5,7,0.357,2.5,7,0.357,0.446,4.3,4.5,0.944,1,2.8,3.8,3.3,0.5,0.5,2,3,16.8
175,Austin Rivers,SG,27,HOU,12,0,17.6,1.6,5.1,0.311,0.8,2.9,0.257,0.8,2.2,0.385,0.385,0.8,1.1,0.769,0.2,2.3,2.5,1.3,0.6,0.1,0.7,1.8,4.8
176,Andre Roberson,SF,28,OKC,1,0,3,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,0
177,Duncan Robinson,SG,25,MIA,21,21,28.6,3.6,8.4,0.426,3,7.4,0.397,0.6,1,0.65,0.602,1.6,1.8,0.868,0.2,2.5,2.8,1.8,0.7,0.3,0.8,3.1,11.7
178,Rajon Rondo,PG,33,LAL,16,0,24.7,3.4,7.6,0.455,1.3,3.1,0.4,2.2,4.4,0.493,0.537,0.8,1.2,0.684,0.8,3.5,4.3,6.6,1.4,0.1,2.1,2.3,8.9
179,Terrence Ross,SG,28,ORL,5,0,27,6,12.8,0.469,2,6,0.333,4,6.8,0.588,0.547,2.4,2.8,0.857,0.2,4.2,4.4,1,0.8,0.2,1.6,2.8,16.4
180,JaKarr Sampson,PF,26,IND,4,0,12.5,2.5,4,0.625,0,0,,2.5,4,0.625,0.625,0,0,,0.3,3,3.3,1,0.5,0,0.5,2.5,5
181,Dennis Schröder,PG,26,OKC,7,0,32.4,6.3,15.6,0.404,1.9,6.4,0.289,4.4,9.1,0.484,0.463,2.9,3.6,0.8,0.3,3.4,3.7,3.6,0.6,0.1,2.4,2.1,17.3
182,Mike Scott,PF,31,PHI,4,0,5,0.3,1.3,0.2,0,0.5,0,0.3,0.8,0.333,0.2,1,1,1,0.5,1.5,2,0.3,0,0,0,0.5,1.5
183,Landry Shamet,SG,22,LAC,13,4,18.7,1.8,4.5,0.407,1.2,3.2,0.357,0.7,1.3,0.529,0.534,0.4,0.5,0.714,0,1.7,1.7,1.3,0.5,0.2,1,1.4,5.2
184,Pascal Siakam,PF,25,TOR,11,11,38,6.5,16.5,0.396,0.9,4.8,0.189,5.6,11.7,0.481,0.423,3,4.2,0.717,1.3,6.3,7.5,3.8,1.1,0.4,2,3,17
185,Anfernee Simons,SG,20,POR,4,0,20.5,2,6.5,0.308,1.5,3.5,0.429,0.5,3,0.167,0.423,1.3,1.5,0.833,0.3,2.5,2.8,2.5,1.5,0,1,1.8,6.8
186,Marcus Smart,SG,25,BOS,17,16,38.1,4.6,11.6,0.394,2.4,7.2,0.333,2.2,4.4,0.493,0.497,2.9,3.3,0.875,0.6,4.6,5.2,4.6,1.2,0.5,2.6,3.2,14.5
187,J.R. Smith,SG,34,LAL,10,0,7.5,0.7,2.6,0.269,0.6,2.2,0.273,0.1,0.4,0.25,0.385,0,0,,0,0.3,0.3,0.3,0.2,0,0.7,1.1,2
188,Edmond Sumner,SG,24,IND,3,0,13.7,0.7,2.3,0.286,0,1,0,0.7,1.3,0.5,0.286,0.7,0.7,1,0.3,1.7,2,0,0,0,0.7,1.7,2
189,Jayson Tatum,PF,21,BOS,17,17,40.6,8.5,19.6,0.434,2.8,7.4,0.373,5.8,12.2,0.471,0.504,5.9,7.2,0.813,1.3,8.7,10,5,1,1.2,2.8,2.4,25.7
190,Garrett Temple,SG,33,BRK,4,4,34.3,4.3,12.3,0.347,2.3,9,0.25,2,3.3,0.615,0.439,1.3,1.5,0.833,0,2.8,2.8,2,0.8,0.3,1.5,3,12
191,Daniel Theis,C,27,BOS,17,17,28.4,3.6,6.9,0.521,0.2,1.5,0.154,3.4,5.4,0.626,0.538,1.5,1.9,0.788,1.9,5.2,7.1,1.5,0.4,1.2,0.9,3.9,8.9
192,Lance Thomas,PF,31,BRK,3,0,5.7,0.3,1.7,0.2,0,0.7,0,0.3,1,0.333,0.2,0.7,1.3,0.5,0.3,0.7,1,0,0,0.3,0,0.7,1.3
193,Matt Thomas,SG,25,TOR,10,0,8.4,1.3,2.1,0.619,0.5,1.2,0.417,0.8,0.9,0.889,0.738,0,0,,0.1,1.3,1.4,0.7,0.1,0.1,0.1,0.6,3.1
194,Matisse Thybulle,SG,22,PHI,4,1,18.8,0.8,1.8,0.429,0.3,1,0.25,0.5,0.8,0.667,0.5,0,0,,0.3,1.5,1.8,0.5,0.8,0.3,0.5,1.5,1.8
195,Gary Trent Jr.,SF,21,POR,5,1,30.6,3.2,9,0.356,2,4.8,0.417,1.2,4.2,0.286,0.467,1.2,1.4,0.857,1,1,2,0.6,0.8,0,1,3.2,9.6
196,P.J. Tucker,PF,34,HOU,12,12,34.5,2.9,7.3,0.398,2.1,5.6,0.373,0.8,1.8,0.476,0.54,0,0,,1.9,5.3,7.2,1.5,1.1,0.3,1,3.9,7.9
197,Rayjon Tucker,SG,22,UTA,2,0,5.5,1,2.5,0.4,0.5,1.5,0.333,0.5,1,0.5,0.5,0,0,,0,0,0,0,0,0,0.5,0.5,2.5
198,Myles Turner,C,23,IND,4,4,36.5,6.3,11,0.568,1.5,3.5,0.429,4.8,7.5,0.633,0.636,1.8,4,0.438,2.8,8,10.8,0.8,0.5,4,2.3,3.3,15.8
199,Fred VanVleet,SG,25,TOR,11,11,39.1,6.9,17.3,0.4,3.9,10,0.391,3,7.3,0.413,0.513,1.9,2.3,0.84,0.5,3.9,4.4,6.9,1.6,0.6,2,2.5,19.6
200,Gabe Vincent,PG,23,MIA,1,0,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
201,Noah Vonleh,C,24,DEN,1,0,3,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0
202,Nikola Vučević,C,29,ORL,5,5,37,11.2,22.2,0.505,3.6,8.8,0.409,7.6,13.4,0.567,0.586,2,2.2,0.909,1.8,9.2,11,4,0.8,0.6,2.6,2.6,28
203,Dion Waiters,SG,28,LAL,5,0,7.6,0.8,2.4,0.333,0,0.8,0,0.8,1.6,0.5,0.333,0.4,0.4,1,0,0.4,0.4,0.4,0.2,0.2,0.2,0.4,2
204,Kemba Walker,PG,29,BOS,17,17,36.9,6.6,15.1,0.441,2.3,7.4,0.31,4.4,7.6,0.569,0.518,4.1,4.8,0.852,0.4,3.7,4.1,5.1,0.9,0.4,1.9,2.5,19.6
205,Brad Wanamaker,PG,30,BOS,17,0,16.1,1.7,3.5,0.483,0.7,1.6,0.444,1,1.9,0.515,0.583,0.8,0.9,0.875,0.1,1.9,2,1.8,0.7,0.2,1.1,1.9,4.9
206,T.J. Warren,SF,26,IND,4,4,39,8,17,0.471,1.8,4.8,0.368,6.3,12.3,0.51,0.522,2.3,2.3,1,1.3,5,6.3,3,2.3,0.3,2.8,4,20
207,Tremont Waters,PG,22,BOS,1,0,2,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,1,0,0,0,0,0
208,Paul Watson,SF,25,TOR,2,0,4.5,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,0,,0,0,0,0.5,0.5,0,0,0,1
209,Russell Westbrook,PG,31,HOU,8,8,32.8,7.4,17.5,0.421,1,4.1,0.242,6.4,13.4,0.477,0.45,2.1,4,0.531,1.4,5.6,7,4.6,1.5,0.3,3.8,2.9,17.9
210,Hassan Whiteside,C,30,POR,5,3,21.2,2.6,4.8,0.542,0.2,0.2,1,2.4,4.6,0.522,0.563,1.4,2.8,0.5,1.4,5.6,7,0.4,0.2,2,1.2,3.4,6.8
211,Grant Williams,PF,21,BOS,17,0,10,0.9,1.5,0.577,0.6,1,0.588,0.3,0.5,0.556,0.769,0.4,0.6,0.7,0.4,1.1,1.5,0.4,0.1,0.3,0.2,1.9,2.8
212,Lou Williams,PG,33,LAC,13,0,26.2,4.8,11.2,0.425,0.9,3.9,0.235,3.8,7.3,0.526,0.466,2.3,2.8,0.811,0.5,2.6,3.2,4.2,0.8,0.2,1.6,1.4,12.8
213,Marvin Williams,PF,33,MIL,10,0,17.9,2.1,4.7,0.447,1,2.3,0.435,1.1,2.4,0.458,0.553,0.3,0.3,1,1.3,3.5,4.8,0.9,0.5,0.3,0.3,1.4,5.5
214,Robert Williams,C,22,BOS,13,0,11.5,1.8,2.4,0.742,0,0.1,0,1.8,2.3,0.767,0.742,0.2,0.5,0.333,1.7,2.2,3.9,0.8,0.2,0.5,0.5,1.4,3.7
215,Nigel Williams-Goss,PG,25,UTA,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0
216,Delon Wright,PG,27,DAL,4,0,13.3,1.5,2.5,0.6,0.3,0.5,0.5,1.3,2,0.625,0.65,0.8,1.3,0.6,0.3,0.5,0.8,1.8,1.3,0,1.3,0.5,4
217,Ivica Zubac,C,22,LAC,13,13,24.6,3.4,6,0.564,0,0,,3.4,6,0.564,0.564,2.3,2.8,0.811,2.4,4.8,7.2,0.6,0.2,0.8,0.9,2.6,9.1
